date_obj,White%20med%20helm price
2015-03-26,20500
2015-03-27,20500
2015-03-28,20500
2015-03-29,20500
2015-03-30,20500
2015-03-31,20500
2015-04-01,20500
2015-04-02,20500
2015-04-03,20500
2015-04-04,20500
2015-04-05,20500
2015-04-06,20500
2015-04-07,20500
2015-04-08,20500
2015-04-09,20500
2015-04-10,20500
2015-04-11,20500
2015-04-12,20500
2015-04-13,20500
2015-04-14,20500
2015-04-15,20500
2015-04-16,20500
2015-04-17,20500
2015-04-18,20500
2015-04-19,20500
2015-04-20,20500
2015-04-21,20500
2015-04-22,20500
2015-04-23,20500
2015-04-24,20500
2015-04-25,20500
2015-04-26,20500
2015-04-27,20500
2015-04-28,20500
2015-04-29,20500
2015-04-30,20500
2015-05-01,20500
2015-05-02,20500
2015-05-03,20500
2015-05-04,20500
2015-05-05,20500
2015-05-06,20500
2015-05-07,20500
2015-05-08,20500
2015-05-09,20500
2015-05-10,20500
2015-05-11,20500
2015-05-12,20500
2015-05-13,20500
2015-05-14,20500
2015-05-15,20500
2015-05-16,20500
2015-05-17,20500
2015-05-18,20500
2015-05-19,20500
2015-05-20,20500
2015-05-21,20500
2015-05-22,20500
2015-05-23,20500
2015-05-24,20500
2015-05-25,20500
2015-05-26,20500
2015-05-27,20500
2015-05-28,20500
2015-05-29,20500
2015-05-30,20500
2015-05-31,20500
2015-06-01,20500
2015-06-02,20500
2015-06-03,20500
2015-06-04,20500
2015-06-05,20500
2015-06-06,20500
2015-06-07,20500
2015-06-08,20500
2015-06-09,20500
2015-06-10,20500
2015-06-11,20500
2015-06-12,20500
2015-06-13,20500
2015-06-14,20500
2015-06-15,20500
2015-06-16,20500
2015-06-17,20500
2015-06-18,20500
2015-06-19,20500
2015-06-20,20500
2015-06-21,20500
2015-06-22,20500
2015-06-23,20500
2015-06-24,20500
2015-06-25,20500
2015-06-26,20500
2015-06-27,20500
2015-06-28,20500
2015-06-29,20500
2015-06-30,20500
2015-07-01,20500
2015-07-02,20500
2015-07-03,20500
2015-07-04,20500
2015-07-05,20500
2015-07-06,20500
2015-07-07,20500
2015-07-08,20500
2015-07-09,20500
2015-07-10,20500
2015-07-11,20500
2015-07-12,20500
2015-07-13,20500
2015-07-14,20500
2015-07-15,20500
2015-07-16,20500
2015-07-17,20500
2015-07-18,20500
2015-07-19,20500
2015-07-20,20500
2015-07-21,20500
2015-07-22,20500
2015-07-23,20500
2015-07-24,20500
2015-07-25,20500
2015-07-26,20500
2015-07-27,20500
2015-07-28,20500
2015-07-29,20500
2015-07-30,20500
2015-07-31,20500
2015-08-01,20500
2015-08-02,20500
2015-08-03,20500
2015-08-04,20500
2015-08-05,20500
2015-08-06,20500
2015-08-07,20500
2015-08-08,20500
2015-08-09,20500
2015-08-10,20500
2015-08-11,20500
2015-08-12,20500
2015-08-13,20500
2015-08-14,20500
2015-08-15,19676
2015-08-16,19676
2015-08-17,19676
2015-08-18,19676
2015-08-19,19676
2015-08-20,19676
2015-08-21,19676
2015-08-22,19676
2015-08-23,19676
2015-08-24,19676
2015-08-25,19676
2015-08-26,19676
2015-08-27,19676
2015-08-28,19676
2015-08-29,19676
2015-08-30,19676
2015-08-31,19676
2015-09-01,19676
2015-09-02,19676
2015-09-03,19676
2015-09-04,19676
2015-09-05,19676
2015-09-06,19676
2015-09-07,19676
2015-09-08,19676
2015-09-09,19676
2015-09-10,19676
2015-09-11,19676
2015-09-12,19676
2015-09-13,19676
2015-09-14,19676
2015-09-15,19676
2015-09-16,19676
2015-09-17,19676
2015-09-18,19676
2015-09-19,19676
2015-09-20,19676
2015-09-21,19676
2015-09-22,19676
2015-09-23,19676
2015-09-24,19676
2015-09-25,19676
2015-09-27,19676
2015-09-28,19676
2015-09-29,19676
2015-09-30,19676
2015-10-05,19676
2015-10-06,19676
2015-10-07,19676
2015-10-08,19676
2015-10-09,19676
2015-10-10,19676
2015-10-11,19676
2015-10-12,19676
2015-10-13,19676
2015-10-14,19676
2015-10-15,19676
2015-10-16,19676
2015-10-17,19676
2015-10-18,19676
2015-10-19,19676
2015-10-20,19676
2015-10-22,19676
2015-10-23,19676
2015-10-24,19676
2015-10-25,19676
2015-10-26,19676
2015-10-27,19676
2015-10-29,19676
2015-10-30,19676
2015-10-31,19676
2015-11-01,19676
2015-11-02,19676
2015-11-03,19676
2015-11-04,19676
2015-11-05,19676
2015-11-06,19676
2015-11-07,19676
2015-11-08,19676
2015-11-09,19676
2015-11-10,19676
2015-11-11,19676
2015-11-12,19676
2015-11-13,19676
2015-11-14,19676
2015-11-15,19676
2015-11-16,19676
2015-11-17,19676
2015-11-18,19676
2015-11-19,19676
2015-11-20,19676
2015-11-21,19676
2015-11-22,19676
2015-11-23,19676
2015-11-24,19676
2015-11-25,19676
2015-11-26,19676
2015-11-27,19676
2015-11-28,19676
2015-11-29,19676
2015-11-30,19676
2015-12-01,19676
2015-12-02,19676
2015-12-03,19676
2015-12-04,19676
2015-12-05,19676
2015-12-06,19676
2015-12-07,19676
2015-12-08,19676
2015-12-09,19676
2015-12-10,19676
2015-12-11,19676
2015-12-13,19676
2015-12-14,19676
2015-12-15,19676
2015-12-16,19676
2015-12-17,19676
2015-12-18,19676
2015-12-19,19676
2015-12-20,19676
2015-12-21,19676
2015-12-22,19676
2015-12-23,19676
2015-12-24,19676
2015-12-25,19676
2015-12-26,19676
2015-12-27,19676
2015-12-28,19676
2015-12-29,19676
2015-12-30,19676
2015-12-31,19676
2016-01-01,19676
2016-01-02,19676
2016-01-03,19676
2016-01-04,19676
2016-01-05,19676
2016-01-06,19676
2016-01-07,19676
2016-01-08,19676
2016-01-09,19676
2016-01-10,19676
2016-01-11,19676
2016-01-12,19676
2016-01-13,19676
2016-01-14,19676
2016-01-15,19676
2016-01-16,19676
2016-01-17,19676
2016-01-18,19676
2016-01-19,19676
2016-01-20,19676
2016-01-21,19676
2016-01-22,19676
2016-01-23,19676
2016-01-24,19676
2016-01-25,19676
2016-01-26,19676
2016-01-27,19676
2016-01-28,19676
2016-01-29,19676
2016-01-30,19676
2016-01-31,19676
2016-02-01,19676
2016-02-02,19676
2016-02-03,19676
2016-02-04,19676
2016-02-05,19676
2016-02-06,19676
2016-02-07,19676
2016-02-08,19676
2016-02-09,19676
2016-02-10,19676
2016-02-11,19676
2016-02-12,19676
2016-02-13,19676
2016-02-14,19676
2016-02-15,19676
2016-02-16,19676
2016-02-17,19676
2016-02-18,19676
2016-02-19,19676
2016-02-20,19676
2016-02-21,19676
2016-02-22,19676
2016-02-23,19676
2016-02-24,19676
2016-02-25,19676
2016-02-26,19676
2016-02-27,19676
2016-02-28,19676
2016-02-29,19676
2016-03-01,19676
2016-03-02,19676
2016-03-03,19676
2016-03-04,19676
2016-03-05,19676
2016-03-06,19676
2016-03-07,19676
2016-03-08,19676
2016-03-09,19676
2016-03-10,19676
2016-03-11,19676
2016-03-12,19676
2016-03-13,19676
2016-03-14,19676
2016-03-15,19676
2016-03-16,19676
2016-03-17,19676
2016-03-18,19676
2016-03-19,19676
2016-03-20,19676
2016-03-21,19676
2016-03-22,19676
2016-03-23,19676
2016-03-24,19676
2016-03-25,19676
2016-03-26,19676
2016-03-27,19064
2016-03-28,19064
2016-03-29,19064
2016-03-30,19064
2016-03-31,19064
2016-04-01,19064
2016-04-02,19064
2016-04-03,19064
2016-04-04,19064
2016-04-05,19064
2016-04-06,19064
2016-04-07,19064
2016-04-08,19064
2016-04-09,19064
2016-04-10,19064
2016-04-11,19064
2016-04-12,19064
2016-04-13,19064
2016-04-14,19064
2016-04-15,19064
2016-04-16,19064
2016-04-17,19064
2016-04-18,19064
2016-04-19,19064
2016-04-20,19064
2016-04-21,19064
2016-04-22,19064
2016-04-23,19064
2016-04-24,19064
2016-04-25,19064
2016-04-26,19064
2016-04-27,19064
2016-04-28,19064
2016-04-29,19064
2016-04-30,19064
2016-05-01,19064
2016-05-02,19064
2016-05-03,19064
2016-05-04,19064
2016-05-05,19064
2016-05-06,19064
2016-05-07,19064
2016-05-08,19064
2016-05-09,19064
2016-05-10,19064
2016-05-11,19064
2016-05-12,19064
2016-05-13,19064
2016-05-14,19064
2016-05-15,19064
2016-05-16,19064
2016-05-17,19064
2016-05-18,19064
2016-05-19,19064
2016-05-22,19064
2016-05-23,19064
2016-05-24,19064
2016-05-25,19064
2016-05-26,19064
2016-05-27,19064
2016-05-28,19064
2016-05-29,19064
2016-05-30,19064
2016-05-31,19064
2016-06-01,19064
2016-06-02,19064
2016-06-03,19064
2016-06-04,19064
2016-06-05,19064
2016-06-06,19064
2016-06-07,19064
2016-06-08,19064
2016-06-09,19064
2016-06-10,19064
2016-06-11,19064
2016-06-12,19064
2016-06-13,19064
2016-06-14,19064
2016-06-15,19064
2016-06-16,19064
2016-06-17,19064
2016-06-18,19064
2016-06-19,19064
2016-06-20,19064
2016-06-21,19064
2016-06-22,19064
2016-06-23,19064
2016-06-24,19064
2016-06-25,19064
2016-06-26,19064
2016-06-27,19064
2016-06-28,19064
2016-06-29,19064
2016-06-30,19064
2016-07-01,19064
2016-07-02,19064
2016-07-03,19064
2016-07-04,19064
2016-07-05,19064
2016-07-06,19064
