date_obj,Steel%20limbs price
2015-03-26,1200
2015-03-27,1200
2015-03-28,1200
2015-03-29,1200
2015-03-30,1200
2015-03-31,1200
2015-04-01,1200
2015-04-02,1200
2015-04-03,1200
2015-04-04,1200
2015-04-05,1200
2015-04-06,1200
2015-04-07,1200
2015-04-08,1200
2015-04-09,1200
2015-04-10,1200
2015-04-11,1200
2015-04-12,1200
2015-04-13,1200
2015-04-14,1200
2015-04-15,1200
2015-04-16,1200
2015-04-17,1200
2015-04-18,1200
2015-04-19,1200
2015-04-20,1200
2015-04-21,1200
2015-04-22,1200
2015-04-23,1200
2015-04-24,1200
2015-04-25,1200
2015-04-26,1200
2015-04-27,1200
2015-04-28,1200
2015-04-29,1200
2015-04-30,1200
2015-05-01,1200
2015-05-02,1200
2015-05-03,1200
2015-05-04,1200
2015-05-05,1200
2015-05-06,1200
2015-05-07,1200
2015-05-08,1200
2015-05-09,1200
2015-05-10,1200
2015-05-11,1200
2015-05-12,1144
2015-05-13,1144
2015-05-14,1144
2015-05-15,1144
2015-05-16,1144
2015-05-17,1144
2015-05-18,1144
2015-05-19,1144
2015-05-20,1144
2015-05-21,1144
2015-05-22,1144
2015-05-23,1144
2015-05-24,1144
2015-05-25,1144
2015-05-26,1144
2015-05-27,1144
2015-05-28,1144
2015-05-29,1144
2015-05-30,1144
2015-05-31,1144
2015-06-01,1144
2015-06-02,1144
2015-06-03,1144
2015-06-04,1144
2015-06-05,1144
2015-06-06,1144
2015-06-07,1144
2015-06-08,1144
2015-06-09,1144
2015-06-10,1144
2015-06-11,1144
2015-06-12,1144
2015-06-13,1144
2015-06-14,1144
2015-06-15,1144
2015-06-16,1144
2015-06-17,1144
2015-06-18,1144
2015-06-19,1144
2015-06-20,1144
2015-06-21,1144
2015-06-22,1144
2015-06-23,1144
2015-06-24,1144
2015-06-25,1144
2015-06-26,1144
2015-06-27,1144
2015-06-28,1144
2015-06-29,1144
2015-06-30,1144
2015-07-01,1144
2015-07-02,1089
2015-07-03,1089
2015-07-04,1089
2015-07-05,1089
2015-07-06,1089
2015-07-07,1089
2015-07-08,1089
2015-07-09,1089
2015-07-10,1089
2015-07-11,1089
2015-07-12,1089
2015-07-13,1089
2015-07-14,1089
2015-07-15,1089
2015-07-16,1089
2015-07-17,1089
2015-07-18,1089
2015-07-19,1089
2015-07-20,1089
2015-07-21,1089
2015-07-22,1089
2015-07-23,1089
2015-07-24,1089
2015-07-25,1089
2015-07-26,1089
2015-07-27,1089
2015-07-28,1089
2015-07-29,1089
2015-07-30,1089
2015-07-31,1089
2015-08-01,1089
2015-08-02,1089
2015-08-03,1089
2015-08-04,1089
2015-08-05,1089
2015-08-06,1089
2015-08-07,1089
2015-08-08,1089
2015-08-09,1089
2015-08-10,1089
2015-08-11,1089
2015-08-12,1089
2015-08-13,1089
2015-08-14,1089
2015-08-15,1089
2015-08-16,1089
2015-08-17,1089
2015-08-18,1035
2015-08-19,1035
2015-08-20,1035
2015-08-21,1035
2015-08-22,1035
2015-08-23,1035
2015-08-24,1035
2015-08-25,1035
2015-08-26,1035
2015-08-27,1035
2015-08-28,1035
2015-08-29,1035
2015-08-30,1035
2015-08-31,1035
2015-09-01,1035
2015-09-02,1035
2015-09-03,1035
2015-09-04,1035
2015-09-05,1035
2015-09-06,1035
2015-09-07,1035
2015-09-08,1035
2015-09-09,1035
2015-09-10,1035
2015-09-11,1035
2015-09-12,1035
2015-09-13,1035
2015-09-14,1035
2015-09-15,1035
2015-09-16,1035
2015-09-17,1035
2015-09-18,1035
2015-09-19,1035
2015-09-20,1035
2015-09-21,1035
2015-09-22,1035
2015-09-23,1035
2015-09-24,1035
2015-09-25,1035
2015-09-27,1035
2015-09-28,1035
2015-09-29,1035
2015-09-30,1035
2015-10-05,1035
2015-10-06,1035
2015-10-07,1034
2015-10-08,1034
2015-10-09,1034
2015-10-10,1034
2015-10-11,1034
2015-10-12,1034
2015-10-13,1034
2015-10-14,1034
2015-10-15,1034
2015-10-16,1034
2015-10-17,1034
2015-10-18,1034
2015-10-19,1034
2015-10-20,1034
2015-10-22,1034
2015-10-23,1034
2015-10-24,1034
2015-10-25,1034
2015-10-26,1034
2015-10-27,1034
2015-10-29,1034
2015-10-30,1034
2015-10-31,1034
2015-11-01,1034
2015-11-02,1034
2015-11-03,1034
2015-11-04,1034
2015-11-05,1034
2015-11-06,1034
2015-11-07,1034
2015-11-08,1034
2015-11-09,1034
2015-11-10,1034
2015-11-11,1034
2015-11-12,1034
2015-11-13,1034
