date_obj,Citizen%20shoes price
2015-03-26,11000
2015-03-27,11000
2015-03-28,11000
2015-03-29,11000
2015-03-30,11000
2015-03-31,11000
2015-04-01,11000
2015-04-02,11000
2015-04-03,11000
2015-04-04,11000
2015-04-05,11000
2015-04-06,11000
2015-04-07,11000
2015-04-08,11000
2015-04-09,11000
2015-04-10,11000
2015-04-11,11000
2015-04-12,11000
2015-04-13,11000
2015-04-14,11000
2015-04-15,11000
2015-04-16,11000
2015-04-17,11000
2015-04-18,11000
2015-04-19,11000
2015-04-20,11000
2015-04-21,11000
2015-04-22,11000
2015-04-23,11000
2015-04-24,11000
2015-04-25,11000
2015-04-26,11000
2015-04-27,11000
2015-04-28,11000
2015-04-29,11000
2015-04-30,11000
2015-05-01,11000
2015-05-02,11000
2015-05-03,11000
2015-05-04,11000
2015-05-05,11000
2015-05-06,11000
2015-05-07,11000
2015-05-08,11000
2015-05-09,11000
2015-05-10,11000
2015-05-11,11000
2015-05-12,11000
2015-05-13,11000
2015-05-14,11000
2015-05-15,11000
2015-05-16,11000
2015-05-17,11000
2015-05-18,11000
2015-05-19,11000
2015-05-20,11000
2015-05-21,11000
2015-05-22,11000
2015-05-23,11000
2015-05-24,11000
2015-05-25,11000
2015-05-26,11000
2015-05-27,11000
2015-05-28,10780
2015-05-29,10780
2015-05-30,10780
2015-05-31,10780
2015-06-01,10780
2015-06-02,10780
2015-06-03,10780
2015-06-04,10780
2015-06-05,10780
2015-06-06,10780
2015-06-07,10780
2015-06-08,10780
2015-06-09,10780
2015-06-10,10780
2015-06-11,10780
2015-06-12,10780
2015-06-13,10780
2015-06-14,10780
2015-06-15,10780
2015-06-16,10780
2015-06-17,10780
2015-06-18,10780
2015-06-19,10780
2015-06-20,10780
2015-06-21,10780
2015-06-22,10780
2015-06-23,10780
2015-06-24,10780
2015-06-25,10780
2015-06-26,10780
2015-06-27,10780
2015-06-28,10780
2015-06-29,10780
2015-06-30,10780
2015-07-01,10780
2015-07-02,10780
2015-07-03,10780
2015-07-04,10780
2015-07-05,10780
2015-07-06,10780
2015-07-07,10780
2015-07-08,10780
2015-07-09,10780
2015-07-10,10780
2015-07-11,10780
2015-07-12,10780
2015-07-13,10780
2015-07-14,10780
2015-07-15,10780
2015-07-16,10780
2015-07-17,10780
2015-07-18,10780
2015-07-19,10780
2015-07-20,10780
2015-07-21,10780
2015-07-22,10780
2015-07-23,10780
2015-07-24,10780
2015-07-25,10780
2015-07-26,10780
2015-07-27,10780
2015-07-28,10780
2015-07-29,10780
2015-07-30,10780
2015-07-31,10780
2015-08-01,10780
2015-08-02,10780
2015-08-03,10780
2015-08-04,10780
