date_obj,Unstrung%20emblem price
2015-03-26,500
2015-03-27,500
2015-03-28,500
2015-03-29,500
2015-03-30,500
2015-03-31,500
2015-04-01,500
2015-04-02,500
2015-04-03,500
2015-04-04,500
2015-04-05,500
2015-04-06,500
2015-04-07,500
2015-04-08,500
2015-04-09,500
2015-04-10,500
2015-04-11,500
2015-04-12,500
2015-04-13,500
2015-04-14,500
2015-04-15,500
2015-04-16,500
2015-04-17,500
2015-04-18,500
2015-04-19,500
2015-04-20,500
2015-04-21,500
2015-04-22,500
2015-04-23,500
2015-04-24,500
2015-04-25,500
2015-04-26,500
2015-04-27,500
2015-04-28,500
2015-04-29,500
2015-04-30,500
2015-05-01,500
2015-05-02,500
2015-05-03,500
2015-05-04,500
2015-05-05,500
2015-05-06,500
2015-05-07,500
2015-05-08,500
2015-05-09,500
2015-05-10,500
2015-05-11,500
2015-05-12,500
2015-05-13,500
2015-05-14,500
2015-05-15,500
2015-05-16,500
2015-05-17,500
2015-05-18,500
2015-05-19,500
2015-05-20,500
2015-05-21,500
2015-05-22,500
2015-05-23,500
2015-05-24,500
2015-05-25,500
2015-05-26,500
2015-05-27,500
2015-05-28,500
2015-05-29,500
2015-05-30,500
2015-05-31,500
2015-06-01,500
2015-06-02,500
2015-06-03,500
2015-06-04,500
2015-06-05,500
2015-06-06,500
2015-06-07,500
2015-06-08,500
2015-06-09,500
2015-06-10,500
2015-06-11,500
2015-06-12,500
2015-06-13,500
2015-06-14,500
2015-06-15,500
2015-06-16,500
2015-06-17,500
2015-06-18,500
2015-06-19,500
2015-06-20,500
2015-06-21,500
2015-06-22,500
2015-06-23,500
2015-06-24,500
2015-06-25,500
2015-06-26,500
2015-06-27,500
2015-06-28,500
2015-06-29,500
2015-06-30,500
2015-07-01,500
2015-07-02,500
2015-07-03,500
2015-07-04,500
2015-07-05,500
2015-07-06,500
2015-07-07,500
2015-07-08,500
2015-07-09,500
2015-07-10,500
2015-07-11,500
2015-07-12,500
2015-07-13,500
2015-07-14,500
2015-07-15,500
2015-07-16,500
2015-07-17,500
2015-07-18,500
2015-07-19,500
2015-07-20,500
2015-07-21,500
2015-07-22,500
2015-07-23,500
2015-07-24,500
2015-07-25,500
2015-07-26,500
2015-07-27,500
2015-07-28,500
2015-07-29,500
2015-07-30,500
2015-07-31,500
2015-08-01,500
2015-08-02,500
2015-08-03,500
2015-08-04,500
2015-08-05,500
2015-08-06,500
2015-08-07,500
2015-08-08,500
2015-08-09,500
2015-08-10,500
2015-08-11,500
2015-08-12,500
2015-08-13,500
2015-08-14,500
2015-08-15,500
2015-08-16,500
2015-08-17,500
2015-08-18,500
2015-08-19,500
2015-08-20,500
2015-08-21,500
2015-08-22,500
2015-08-23,500
2015-08-24,500
2015-08-25,500
2015-08-26,500
2015-08-27,500
2015-08-28,500
2015-08-29,500
2015-08-30,500
2015-08-31,500
2015-09-01,500
2015-09-02,500
2015-09-03,500
2015-09-04,500
2015-09-05,500
2015-09-06,500
2015-09-07,500
2015-09-08,500
2015-09-09,500
2015-09-10,500
2015-09-11,500
2015-09-12,500
2015-09-13,500
2015-09-14,500
2015-09-15,500
2015-09-16,500
2015-09-17,500
2015-09-18,500
2015-09-19,500
2015-09-20,500
2015-09-21,500
2015-09-22,500
2015-09-23,500
2015-09-24,500
2015-09-25,500
2015-09-27,500
2015-09-28,500
2015-09-29,500
2015-09-30,500
2015-10-05,500
2015-10-06,500
2015-10-07,500
2015-10-08,500
2015-10-09,500
2015-10-10,500
2015-10-11,500
2015-10-12,500
2015-10-13,500
2015-10-14,500
