date_obj,Hammerstone%20hops price
2015-03-26,40
2015-03-27,40
2015-03-28,40
2015-03-29,40
2015-03-30,40
2015-03-31,40
2015-04-01,40
2015-04-02,40
2015-04-03,40
2015-04-04,40
2015-04-05,40
2015-04-06,40
2015-04-07,40
2015-04-08,40
2015-04-09,40
2015-04-10,40
2015-04-11,40
2015-04-12,40
2015-04-13,40
2015-04-14,40
2015-04-15,40
2015-04-16,40
2015-04-17,40
2015-04-18,40
2015-04-19,40
2015-04-20,40
2015-04-21,40
2015-04-22,40
2015-04-23,40
2015-04-24,40
2015-04-25,40
2015-04-26,40
2015-04-27,40
2015-04-28,40
2015-04-29,40
2015-04-30,40
2015-05-01,40
2015-05-02,40
2015-05-03,40
2015-05-04,40
2015-05-05,40
2015-05-06,40
2015-05-07,40
2015-05-08,40
2015-05-09,40
2015-05-10,40
2015-05-11,40
2015-05-12,40
2015-05-13,40
2015-05-14,40
2015-05-15,40
2015-05-16,40
2015-05-17,40
2015-05-18,40
2015-05-19,40
2015-05-20,40
2015-05-21,40
2015-05-22,40
2015-05-23,40
2015-05-24,40
2015-05-25,40
2015-05-26,40
2015-05-27,40
2015-05-28,40
2015-05-29,40
2015-05-30,40
2015-05-31,40
2015-06-01,40
2015-06-02,40
2015-06-03,40
2015-06-04,40
2015-06-05,40
2015-06-06,40
2015-06-07,40
2015-06-08,40
2015-06-09,40
2015-06-10,40
2015-06-11,40
2015-06-12,40
2015-06-13,40
2015-06-14,40
2015-06-15,40
2015-06-16,40
2015-06-17,40
2015-06-18,40
2015-06-19,40
2015-06-20,40
2015-06-21,40
2015-06-22,40
2015-06-23,40
2015-06-24,40
2015-06-25,40
2015-06-26,40
2015-06-27,40
2015-06-28,40
2015-06-29,40
2015-06-30,40
2015-07-01,40
2015-07-02,40
2015-07-03,40
2015-07-04,40
2015-07-05,40
2015-07-06,40
2015-07-07,40
2015-07-08,40
2015-07-09,40
2015-07-10,40
2015-07-11,40
2015-07-12,40
2015-07-13,40
2015-07-14,40
2015-07-15,40
2015-07-16,40
2015-07-17,40
2015-07-18,40
2015-07-19,40
2015-07-20,41
2015-07-21,41
2015-07-22,41
2015-07-23,41
2015-07-24,41
2015-07-25,41
2015-07-26,41
2015-07-27,41
2015-07-28,41
2015-07-29,41
2015-07-30,41
2015-07-31,41
2015-08-01,41
2015-08-02,41
2015-08-03,41
2015-08-04,41
2015-08-05,41
2015-08-06,41
2015-08-07,41
2015-08-08,41
2015-08-09,41
2015-08-10,41
2015-08-11,41
2015-08-12,41
2015-08-13,41
2015-08-14,41
2015-08-15,41
2015-08-16,41
2015-08-17,41
2015-08-18,41
2015-08-19,41
2015-08-20,41
2015-08-21,41
2015-08-22,41
2015-08-23,41
2015-08-24,41
2015-08-25,41
2015-08-26,41
2015-08-27,41
2015-08-28,41
2015-08-29,41
2015-08-30,41
2015-08-31,41
2015-09-01,41
2015-09-02,41
2015-09-03,41
2015-09-04,41
2015-09-05,41
2015-09-06,41
2015-09-07,41
2015-09-08,41
2015-09-09,41
2015-09-10,41
2015-09-11,41
2015-09-12,41
2015-09-13,41
2015-09-14,41
2015-09-15,41
2015-09-16,41
2015-09-17,41
2015-09-18,41
2015-09-19,41
2015-09-20,41
2015-09-21,41
2015-09-22,41
2015-09-23,41
2015-09-24,41
2015-09-25,41
2015-09-27,41
2015-09-28,41
2015-09-29,41
2015-09-30,41
2015-10-05,41
2015-10-06,41
2015-10-07,41
2015-10-08,41
2015-10-09,41
2015-10-10,41
2015-10-11,41
2015-10-12,41
2015-10-13,41
2015-10-14,41
2015-10-15,41
2015-10-16,41
2015-10-17,41
2015-10-18,41
2015-10-19,41
2015-10-20,41
2015-10-22,41
2015-10-23,41
2015-10-24,41
2015-10-25,41
2015-10-26,41
2015-10-27,41
2015-10-29,41
2015-10-30,41
2015-10-31,41
2015-11-01,41
2015-11-02,41
2015-11-03,41
2015-11-04,41
2015-11-05,41
2015-11-06,41
2015-11-07,41
2015-11-08,41
2015-11-09,41
2015-11-10,41
2015-11-11,41
2015-11-12,41
2015-11-13,41
2015-11-14,41
2015-11-15,41
2015-11-16,41
2015-11-17,41
2015-11-18,41
2015-11-19,41
2015-11-20,41
2015-11-21,41
2015-11-22,41
2015-11-23,41
2015-11-24,41
2015-11-25,41
2015-11-26,41
2015-11-27,41
2015-11-28,41
2015-11-29,41
2015-11-30,41
2015-12-01,41
2015-12-02,41
2015-12-03,41
2015-12-04,41
2015-12-05,41
2015-12-06,41
2015-12-07,41
2015-12-08,41
2015-12-09,41
2015-12-10,41
2015-12-11,41
2015-12-12,41
2015-12-13,41
2015-12-14,41
2015-12-15,41
2015-12-16,41
2015-12-17,41
2015-12-18,41
2015-12-19,41
2015-12-20,41
2015-12-21,41
2015-12-22,41
2015-12-23,41
2015-12-24,41
2015-12-25,41
2015-12-26,41
2015-12-27,41
2015-12-28,41
2015-12-29,41
2015-12-30,41
2015-12-31,41
2016-01-01,41
2016-01-02,41
2016-01-03,41
2016-01-04,41
2016-01-05,41
2016-01-06,41
2016-01-07,41
2016-01-08,41
2016-01-09,41
2016-01-10,41
2016-01-11,41
2016-01-12,41
2016-01-13,41
2016-01-14,41
2016-01-15,41
2016-01-16,41
2016-01-17,41
2016-01-18,41
2016-01-19,41
2016-01-20,41
2016-01-21,41
2016-01-22,41
2016-01-23,41
2016-01-24,41
2016-01-25,41
2016-01-26,41
2016-01-27,41
2016-01-28,41
2016-01-29,41
2016-01-30,41
2016-01-31,41
2016-02-01,41
2016-02-02,41
2016-02-03,41
2016-02-04,41
2016-02-05,41
2016-02-06,41
2016-02-07,41
2016-02-08,41
2016-02-09,41
2016-02-10,41
2016-02-11,41
2016-02-12,41
2016-02-13,41
2016-02-14,41
2016-02-15,41
2016-02-16,41
2016-02-17,41
2016-02-18,41
2016-02-19,41
2016-02-20,41
2016-02-21,41
2016-02-22,41
2016-02-23,41
2016-02-24,41
2016-02-25,41
2016-02-26,41
2016-02-27,41
2016-02-28,41
2016-02-29,41
2016-03-01,41
2016-03-02,41
2016-03-03,41
2016-03-04,41
2016-03-05,41
2016-03-06,41
2016-03-07,41
2016-03-08,41
2016-03-09,41
2016-03-10,41
2016-03-11,41
2016-03-12,41
2016-03-13,41
2016-03-14,41
2016-03-15,41
2016-03-16,41
2016-03-17,41
2016-03-18,41
2016-03-19,41
2016-03-20,41
2016-03-21,41
2016-03-22,41
2016-03-23,41
2016-03-24,41
2016-03-25,41
2016-03-26,41
2016-03-27,41
2016-03-28,41
2016-03-29,41
2016-03-30,41
2016-03-31,41
2016-04-01,41
2016-04-02,41
2016-04-03,41
2016-04-04,41
2016-04-05,41
2016-04-06,41
2016-04-07,41
2016-04-08,41
2016-04-09,41
2016-04-10,41
2016-04-11,41
2016-04-12,41
2016-04-13,41
2016-04-14,41
2016-04-15,41
2016-04-16,41
2016-04-17,41
