date_obj,Willow%20bird%20house price
2017-09-07,600
2017-09-08,600
2017-09-09,600
2017-09-10,600
2017-09-11,600
2017-09-12,600
2017-09-13,600
2017-09-14,600
2017-09-15,600
2017-09-16,600
2017-09-17,600
2017-09-18,600
2017-09-19,600
2017-09-20,600
2017-09-21,600
2017-09-22,600
2017-09-23,600
2017-09-24,600
2017-09-25,600
2017-09-26,600
2017-09-27,600
2017-09-28,600
2017-09-29,600
2017-09-30,600
2017-10-01,600
2017-10-02,600
2017-10-03,600
2017-10-04,600
2017-10-05,600
2017-10-06,600
2017-10-07,600
2017-10-08,600
2017-10-09,600
2017-10-10,600
2017-10-11,600
2017-10-12,600
2017-10-13,600
2017-10-14,600
2017-10-15,600
2017-10-16,600
2017-10-17,600
2017-10-18,600
2017-10-19,600
2017-10-20,600
2017-10-21,600
2017-10-22,600
2017-10-23,600
2017-10-24,600
2017-10-25,600
2017-10-26,600
2017-10-27,600
2017-10-28,600
2017-10-29,600
2017-10-30,600
2017-10-31,600
2017-11-01,600
2017-11-02,600
2017-11-03,600
2017-11-04,600
2017-11-05,600
2017-11-06,600
2017-11-07,600
2017-11-08,600
2017-11-09,600
2017-11-10,600
2017-11-11,600
2017-11-12,600
2017-11-13,600
2017-11-14,600
2017-11-15,600
2017-11-16,600
2017-11-17,600
2017-11-18,600
2017-11-19,600
2017-11-20,600
2017-11-21,600
2017-11-22,600
2017-11-23,600
2017-11-24,600
2017-11-25,600
2017-11-26,600
2017-11-27,600
2017-11-28,600
2017-11-29,600
2017-11-30,600
2017-12-01,600
2017-12-02,600
2017-12-03,600
2017-12-04,600
2017-12-05,600
2017-12-06,600
2017-12-07,600
2017-12-08,600
2017-12-09,600
2017-12-10,600
2017-12-11,600
2017-12-12,600
2017-12-13,600
2017-12-14,600
2017-12-15,600
2017-12-16,600
2017-12-17,600
2017-12-18,600
2017-12-19,600
2017-12-20,600
2017-12-21,600
2017-12-22,600
2017-12-23,600
2017-12-24,600
2017-12-25,600
2017-12-26,600
2017-12-27,600
2017-12-28,600
2017-12-29,600
2017-12-30,600
2017-12-31,600
2018-01-01,600
2018-01-02,600
2018-01-03,600
2018-01-04,600
2018-01-05,600
2018-01-06,600
2018-01-07,600
2018-01-08,600
2018-01-09,600
2018-01-10,600
2018-01-11,600
