date_obj,Villager%20armband%20(pink) price
2015-02-25,35000
2015-02-26,35000
2015-02-27,35000
2015-02-28,35000
2015-03-01,35000
2015-03-02,35000
2015-03-03,35000
2015-03-04,35000
2015-03-05,35000
2015-03-06,35000
2015-03-07,35000
2015-03-08,35000
2015-03-09,35000
2015-03-10,35000
2015-03-11,35000
2015-03-12,35000
2015-03-13,35000
2015-03-14,35000
2015-03-15,35000
2015-03-16,35000
2015-03-17,35000
2015-03-18,35000
2015-03-19,35000
2015-03-20,35000
2015-03-21,35000
2015-03-22,35000
2015-03-23,35000
2015-03-24,35000
2015-03-25,35000
2015-03-26,35000
2015-03-27,35000
2015-03-28,35000
2015-03-29,35000
2015-03-30,35000
2015-03-31,35000
2015-04-01,35000
2015-04-02,35000
2015-04-03,35000
2015-04-04,35000
2015-04-05,35000
2015-04-06,35000
2015-04-07,35000
2015-04-08,35000
2015-04-09,35000
2015-04-10,35000
2015-04-11,35000
2015-04-12,35000
2015-04-13,35000
2015-04-14,35000
2015-04-15,35000
2015-04-16,35000
2015-04-17,35000
2015-04-18,35000
2015-04-19,35000
2015-04-20,35000
2015-04-21,35000
2015-04-22,35000
2015-04-23,35000
2015-04-24,35000
2015-04-25,35000
2015-04-26,35000
2015-04-27,35000
2015-04-28,35000
2015-04-29,35000
2015-04-30,35000
2015-05-01,35000
2015-05-02,35000
2015-05-03,35000
2015-05-04,35000
2015-05-05,35000
2015-05-06,35000
2015-05-07,35000
2015-05-08,35000
2015-05-09,35000
2015-05-10,35000
2015-05-11,35000
2015-05-12,35000
2015-05-13,35000
2015-05-14,35000
2015-05-15,35000
2015-05-16,35000
2015-05-17,35000
2015-05-18,35000
2015-05-19,35000
2015-05-20,35000
2015-05-21,35000
2015-05-22,35000
2015-05-23,35000
2015-05-24,35000
2015-05-25,35000
2015-05-26,35000
2015-05-27,35000
2015-05-28,34440
2015-05-29,34440
2015-05-30,34440
2015-05-31,34440
2015-06-01,34440
2015-06-02,34440
2015-06-03,34440
2015-06-04,34440
2015-06-05,34440
2015-06-06,34440
2015-06-07,34440
2015-06-08,34440
2015-06-09,34440
2015-06-10,34440
2015-06-11,34440
2015-06-12,34440
2015-06-13,34440
2015-06-14,34440
2015-06-15,34440
2015-06-16,34440
2015-06-17,34440
2015-06-18,34440
2015-06-19,34440
2015-06-20,34440
2015-06-21,34440
2015-06-22,34440
2015-06-23,34440
2015-06-24,34440
2015-06-25,34440
2015-06-26,34440
2015-06-27,34440
2015-06-28,34440
2015-06-29,34440
2015-06-30,34440
2015-07-01,34440
2015-07-02,34440
2015-07-03,34440
2015-07-04,34440
2015-07-05,34440
2015-07-06,34440
2015-07-07,34440
2015-07-08,34440
2015-07-09,34440
2015-07-10,34440
2015-07-11,34440
2015-07-12,34440
2015-07-13,34440
2015-07-14,34440
2015-07-15,34440
2015-07-16,34440
2015-07-17,34440
2015-07-18,34440
2015-07-19,34440
2015-07-20,34440
2015-07-21,34440
2015-07-22,34440
2015-07-23,34440
2015-07-24,34440
2015-07-25,34440
2015-07-26,34440
2015-07-27,34440
2015-07-28,32745
2015-07-29,32745
2015-07-30,32745
2015-07-31,32745
2015-08-01,32745
2015-08-02,32745
2015-08-03,32745
2015-08-04,32745
2015-08-05,32745
2015-08-06,32745
2015-08-07,32745
2015-08-08,32745
2015-08-09,32745
2015-08-10,32745
2015-08-11,32745
2015-08-12,32745
2015-08-13,32745
2015-08-14,32745
2015-08-15,32745
2015-08-16,32745
2015-08-17,32745
2015-08-18,32745
2015-08-19,32745
2015-08-20,32745
2015-08-21,32745
2015-08-22,32745
2015-08-23,32745
2015-08-24,32745
2015-08-25,32745
2015-08-26,32745
2015-08-27,32745
2015-08-28,32745
2015-08-29,32745
2015-08-30,32745
2015-08-31,32745
2015-09-01,32745
2015-09-02,32745
2015-09-03,32745
2015-09-04,32745
2015-09-05,32745
2015-09-06,32745
2015-09-07,32745
2015-09-08,32745
2015-09-09,32745
2015-09-10,32745
2015-09-11,32745
2015-09-12,32745
2015-09-13,32745
2015-09-14,32745
2015-09-15,32745
2015-09-16,32745
2015-09-17,32745
2015-09-18,32745
2015-09-19,32745
2015-09-20,32745
2015-09-21,32745
2015-09-22,32745
2015-09-23,32745
2015-09-24,32745
2015-09-25,32745
2015-09-26,32745
2015-09-27,32745
2015-09-28,32745
2015-09-29,32745
2015-09-30,32745
2015-10-01,32745
2015-10-02,32745
2015-10-03,32745
2015-10-04,32745
2015-10-05,32745
2015-10-06,32745
2015-10-07,32745
2015-10-08,32745
2015-10-09,32745
2015-10-10,32745
2015-10-11,32745
2015-10-12,32027
2015-10-13,32027
2015-10-14,32027
2015-10-15,32027
2015-10-16,32027
2015-10-17,32027
2015-10-18,32027
2015-10-19,32027
2015-10-20,32027
2015-10-21,32027
2015-10-22,32027
2015-10-23,32027
2015-10-24,32027
2015-10-25,32027
2015-10-26,32027
2015-10-27,32027
2015-10-28,32027
2015-10-29,32027
2015-10-30,32027
2015-10-31,32027
2015-11-01,32027
2015-11-02,32027
2015-11-03,32027
2015-11-04,32027
2015-11-05,32027
2015-11-06,32027
2015-11-07,32027
2015-11-08,32027
2015-11-09,32027
2015-11-10,32027
2015-11-11,32027
2015-11-12,32027
2015-11-13,32027
2015-11-14,32027
2015-11-15,32027
2015-11-16,32027
2015-11-17,32027
2015-11-18,32027
2015-11-19,32027
2015-11-20,32027
2015-11-21,32027
2015-11-22,32027
2015-11-23,32027
2015-11-24,32027
2015-11-25,32027
2015-11-26,32027
2015-11-27,32027
2015-11-28,32027
2015-11-29,32027
2015-11-30,32027
