date_obj,Mummy's%20hands price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,5000000
2016-07-11,5000000
2016-07-12,5000000
2016-07-13,5000000
2016-07-14,5000000
2016-07-15,5000000
2016-07-16,5000000
2016-07-17,5000000
2016-07-18,5000000
2016-07-23,5000000
2016-07-24,5000000
2016-07-25,5000000
2016-07-26,5000000
2016-07-27,5000000
2016-07-28,5000000
2016-07-29,5000000
2016-07-30,5000000
2016-07-31,5000000
2016-08-01,5000000
2016-08-02,5000000
2016-08-03,5000000
2016-08-04,5000000
2016-08-05,5000000
2016-08-06,5000000
2016-08-07,5000000
2016-08-08,5000000
2016-08-09,5000000
2016-08-10,5000000
2016-08-11,5000000
2016-08-12,5000000
2016-08-13,5000000
2016-08-14,5000000
2016-08-15,5000000
2016-08-16,5000000
2016-08-17,5000000
2016-08-18,5000000
2016-08-19,5000000
2016-08-20,5000000
2016-08-21,5000000
2016-08-22,5000000
2016-08-23,5000000
2016-08-24,5000000
2016-08-25,5000000
2016-08-26,5000000
2016-08-28,5000000
2016-08-31,5000000
2016-09-01,5000000
2016-09-02,5000000
2016-09-03,5000000
2016-09-04,5000000
2016-09-05,5000000
2016-09-06,5000000
2016-09-07,5000000
2016-09-08,5000000
2016-09-09,5000000
2016-09-10,5000000
2016-09-11,5000000
2016-09-12,5000000
2016-09-13,5000000
2016-09-14,5000000
2016-09-15,5000000
2016-09-16,5000000
2016-09-17,5000000
2016-09-18,5000000
2016-09-19,5000000
2016-09-20,5000000
2016-09-21,5000000
2016-09-22,5000000
2016-09-23,5000000
2016-09-24,5000000
2016-09-25,5000000
2016-09-26,5000000
2016-09-27,5000000
2016-09-28,5000000
2016-09-29,5000000
2016-09-30,5000000
2016-10-01,5000000
2016-10-02,5000000
2016-10-03,5000000
2016-10-04,5000000
2016-10-05,5000000
2016-10-06,5000000
2016-10-07,5000000
2016-10-08,5000000
2016-10-09,5000000
2016-10-10,5000000
2016-10-11,5000000
2016-10-12,5000000
2016-10-13,5000000
2016-10-14,4819103
2016-10-15,4819103
2016-10-16,4819103
2016-10-17,4819103
2016-10-18,4819103
2016-10-19,4819103
2016-10-20,4819103
2016-10-21,4819103
2016-10-22,4819103
2016-10-23,4819103
2016-10-24,4819103
2016-10-25,4819103
2016-10-26,4819103
2016-10-27,4819103
2016-10-28,4819103
2016-10-29,4819103
2016-10-30,4819103
2016-10-31,4819103
2016-11-01,4819103
2016-11-02,4819103
2016-11-03,4819103
2016-11-04,4819103
2016-11-05,4819103
2016-11-06,4819103
2016-11-07,4819103
2016-11-08,4819103
2016-11-09,4819103
2016-11-10,4819103
2016-11-11,4819103
2016-11-12,4819103
2016-11-13,4819103
2016-11-14,4819103
2016-12-07,4819103
2016-12-08,4819103
2016-12-09,4819103
2016-12-10,4819103
2016-12-11,4819103
2016-12-12,4819103
2016-12-13,4819103
2016-12-14,4819103
2016-12-15,4819103
2016-12-16,4819103
2016-12-17,4819103
2016-12-18,4819103
2016-12-19,4819103
2016-12-20,4819103
2016-12-21,4819103
2016-12-22,4819103
2016-12-23,4819103
2016-12-24,4819103
2016-12-25,4819103
2016-12-26,4819103
2016-12-27,4819103
2016-12-28,4819103
2016-12-29,4819103
2016-12-30,4819103
2016-12-31,4819103
2017-01-01,4819103
2017-01-02,4819103
2017-01-03,4819103
2017-01-04,4819103
2017-01-05,4819103
2017-01-06,4819103
2017-01-07,4819103
2017-01-08,4819103
2017-01-09,4819103
2017-01-10,4819103
2017-01-11,4819103
2017-01-12,4578147
2017-01-13,4578147
2017-01-14,4578147
2017-01-15,4578147
2017-01-16,4578147
2017-01-17,4578147
2017-01-18,4578147
2017-01-19,4578147
2017-01-20,4578147
2017-01-21,4578147
2017-01-22,4578147
2017-01-27,4578147
2017-01-28,4578147
2017-01-29,4578147
2017-01-30,4578147
2017-01-31,4578147
2017-02-01,4578147
2017-02-02,4578147
2017-02-03,4578147
2017-02-04,4578147
2017-02-05,4578147
2017-02-06,4578147
2017-02-07,4578147
2017-02-08,4578147
2017-02-09,4578147
2017-02-10,4578147
2017-02-11,4578147
2017-02-12,4578147
2017-02-13,4578147
2017-02-14,4578147
2017-02-15,4578147
2017-02-16,4578147
2017-02-18,4578147
2017-02-19,4578147
2017-02-20,4578147
2017-02-21,4578147
2017-02-22,4578147
2017-02-23,4578147
2017-02-24,4578147
2017-02-25,4578147
2017-02-26,4578147
2017-02-27,4578147
2017-02-28,4578147
2017-03-01,4578147
2017-03-02,4578147
2017-03-03,4578147
2017-03-04,4578147
2017-03-05,4578147
2017-03-06,4578147
2017-03-07,4578147
2017-03-08,4578147
2017-03-09,4578147
2017-03-10,4578147
2017-03-11,4578147
2017-03-12,4578147
2017-03-13,4578147
2017-03-14,4578147
2017-03-15,4578147
2017-03-16,4578147
2017-03-17,4578147
2017-03-18,4578147
2017-03-19,4578147
2017-03-20,4578147
2017-03-21,4578147
2017-03-22,4578147
2017-03-23,4578147
2017-03-24,4578147
2017-03-25,4578147
2017-03-26,4578147
2017-03-27,4578147
2017-03-28,4578147
2017-03-29,4578147
2017-03-30,4578147
2017-03-31,4578147
2017-04-01,4578147
2017-04-02,4578147
2017-04-03,4578147
2017-04-04,4578147
2017-04-12,1050007
2017-04-13,1050007
2017-04-14,1050007
2017-04-15,1050007
2017-04-16,1050007
2017-04-17,1050007
2017-04-18,1050007
2017-04-19,1050007
2017-04-20,1050007
2017-04-21,1050007
2017-04-22,1050007
2017-04-23,1050007
2017-04-24,1050007
2017-04-25,1050007
2017-04-26,1050007
2017-04-27,1050007
2017-04-28,1050007
2017-04-29,1050007
2017-04-30,1050007
2017-05-01,1050007
2017-05-02,1050007
2017-05-03,1050007
2017-05-04,1050007
2017-05-05,1050007
2017-05-06,1050007
2017-05-07,1050007
2017-05-08,1050007
2017-05-09,1050007
2017-05-10,1050007
2017-05-11,1050007
2017-05-12,1050007
2017-05-13,1050007
2017-05-14,1050007
2017-05-15,1050007
2017-05-16,1050007
2017-05-17,1050007
2017-05-18,1050007
2017-05-19,1050007
2017-05-20,1050007
2017-05-21,1050007
2017-05-22,1050007
2017-05-23,1050007
2017-05-24,1050007
2017-05-25,1050007
2017-05-26,1050007
2017-05-27,1050007
2017-05-28,1050007
2017-05-29,1050007
2017-05-30,1050007
2017-05-31,1050007
2017-06-01,1050007
2017-06-02,1050007
2017-06-03,1050007
2017-06-06,1050007
2017-06-07,1050007
2017-06-08,1050007
2017-06-09,1050007
2017-06-10,1050007
2017-06-11,1050007
2017-06-12,1050007
2017-06-13,1050007
2017-06-14,1050007
2017-06-15,1050007
2017-06-16,1050007
2017-06-17,1050007
