date_obj,Dark%20trousers price
2016-07-06,2000000
2016-07-07,2000000
2016-07-08,2000000
2016-07-09,2000000
2016-07-10,2000000
2016-07-11,2000000
2016-07-12,2000000
2016-07-13,2000000
2016-07-14,2000000
2016-07-15,2000000
2016-07-16,2000000
2016-07-17,2000000
2016-07-18,2000000
2016-07-23,2000000
2016-07-24,2000000
2016-07-25,2000000
2016-07-26,2000000
2016-07-27,2000000
2016-07-28,2000000
2016-07-29,2000000
2016-07-30,2000000
2016-07-31,2000000
2016-08-01,2000000
2016-08-02,2000000
2016-08-03,2000000
2016-08-04,2000000
2016-08-05,2000000
2016-08-06,2000000
2016-08-07,2000000
2016-08-08,2000000
2016-08-09,2000000
2016-08-10,2000000
2016-08-11,2000000
2016-08-12,2000000
2016-08-13,2000000
2016-08-14,2000000
2016-08-15,2000000
2016-08-16,2000000
2016-08-17,2000000
2016-08-18,2000000
2016-08-19,2000000
2016-08-20,2000000
2016-08-21,2000000
2016-08-22,2000000
2016-08-23,2000000
2016-08-24,2000000
2016-08-25,2000000
2016-08-26,2000000
2016-08-28,2077835
2016-08-31,2077835
2016-09-01,2077835
2016-09-02,2077835
2016-09-03,2077835
2016-09-04,2077835
2016-09-05,2077835
2016-09-06,2077835
2016-09-07,2077835
2016-09-08,2077835
2016-09-09,2077835
2016-09-10,2077835
2016-09-11,2077835
2016-09-12,2077835
2016-09-13,2077835
2016-09-14,2077835
2016-09-15,2077835
2016-09-16,2077835
2016-09-17,2077835
2016-09-18,2077835
2016-09-19,2077835
2016-09-20,2077835
2016-09-21,2077835
2016-09-22,2077835
2016-09-23,2077835
2016-09-24,2077835
2016-09-25,2077835
2016-09-26,2077835
2016-09-27,2077835
2016-09-28,2077835
2016-09-29,2077835
2016-09-30,2077835
2016-10-01,2077835
2016-10-02,2077835
2016-10-03,2077835
2016-10-04,2077835
2016-10-05,2077835
2016-10-06,2077835
2016-10-07,2077835
2016-10-08,2077835
2016-10-09,2077835
2016-10-10,2077835
2016-10-11,2077835
2016-10-12,2077835
2016-10-13,2077835
2016-10-14,2077835
2016-10-15,2077835
2016-10-16,2077835
2016-10-17,2077835
2016-10-18,2077835
2016-10-19,2077835
2016-10-20,2077835
2016-10-21,2077835
