date_obj,Statius's%20full%20helm price
2018-09-05,1200000
2018-09-06,1200000
2018-09-07,1200000
2018-09-08,1200000
2018-09-09,1200000
2018-09-10,1200000
2018-09-11,1200000
2018-09-12,1200000
2018-09-13,1200000
2018-09-14,1200000
2018-09-15,1200000
2018-09-16,1200000
2018-09-17,1200000
2018-09-18,1200000
2018-09-19,1200000
2018-09-20,1200000
2018-09-21,1200000
2018-09-22,1200000
2018-09-23,1200000
2018-09-24,1200000
2018-09-25,1200000
2018-09-26,1200000
2018-09-27,1200000
2018-09-28,1200000
2018-09-29,1200000
2018-09-30,1200000
2018-10-02,1200000
2018-10-03,1200000
2018-10-04,1200000
2018-10-05,1200000
2018-10-06,1200000
2018-10-07,1200000
2018-10-08,1200000
2018-10-09,1200000
2018-10-10,1200000
2018-10-11,1200000
2018-10-12,1200000
2018-10-13,1200000
2018-10-14,1200000
2018-10-15,1200000
2018-10-16,1200000
2018-10-17,1200000
2018-10-18,1200000
2018-10-19,1200000
2018-10-20,1200000
2018-10-21,1200000
2018-10-21,1200000
2018-10-22,1200000
2018-10-23,1200000
2018-10-23,1200000
2018-10-24,1200000
2018-10-25,1200000
2018-10-26,1200000
2018-10-26,1200000
2018-10-27,1200000
2018-10-28,1200000
2018-10-29,1200000
2018-10-30,1200000
2018-10-31,1200000
2018-11-01,1200000
2018-11-03,1200000
2018-11-04,1200000
2018-11-05,1200000
2018-11-06,1200000
2018-11-07,1200000
2018-11-08,1200000
2018-11-09,1200000
2018-11-10,1200000
2018-11-11,1200000
2018-11-12,1200000
2018-11-13,1200000
2018-11-14,1200000
2018-11-15,1200000
2018-11-16,1200000
2018-11-17,1200000
2018-11-18,1200000
2018-11-19,1200000
2018-11-20,1200000
2018-11-21,1200000
2018-11-22,1200000
2018-11-23,1200000
2018-11-24,1200000
2018-11-25,1200000
2018-11-26,1200000
2018-11-27,1200000
2018-11-28,1200000
2018-11-29,1200000
2018-12-01,1200000
2018-12-02,1200000
2018-12-03,1200000
2018-12-04,1200000
