date_obj,Unpowered%20symbol price
2015-03-26,3500
2015-03-27,3500
2015-03-28,3500
2015-03-29,3500
2015-03-30,3500
2015-03-31,3500
2015-04-01,3500
2015-04-02,3500
2015-04-03,3500
2015-04-04,3500
2015-04-05,3500
2015-04-06,3500
2015-04-07,3500
2015-04-08,3500
2015-04-09,3500
2015-04-10,3500
2015-04-11,3500
2015-04-12,3500
2015-04-13,3500
2015-04-14,3500
2015-04-15,3500
2015-04-16,3500
2015-04-17,3500
2015-04-18,3500
2015-04-19,3500
2015-04-20,3500
2015-04-21,3500
2015-04-22,3500
2015-04-23,3500
2015-04-24,3500
2015-04-25,3500
2015-04-26,3500
2015-04-27,3500
2015-04-28,3500
2015-04-29,3500
2015-04-30,3500
2015-05-01,3500
2015-05-02,3500
2015-05-03,3500
2015-05-04,3500
2015-05-05,3500
2015-05-06,3500
2015-05-07,3500
2015-05-08,3500
2015-05-09,3500
2015-05-10,3500
2015-05-11,3500
2015-05-12,3500
2015-05-13,3500
2015-05-14,3500
2015-05-15,3500
2015-05-16,3500
2015-05-17,3500
2015-05-18,3500
2015-05-19,3500
2015-05-20,3500
2015-05-21,3500
2015-05-22,3500
2015-05-23,3500
2015-05-24,3500
2015-05-25,3500
2015-05-26,3500
2015-05-27,3500
2015-05-28,3500
2015-05-29,3500
2015-05-30,3500
2015-05-31,3500
2015-06-01,3500
2015-06-02,3500
2015-06-03,3500
2015-06-04,3500
2015-06-05,3500
2015-06-06,3500
2015-06-07,3500
2015-06-08,3500
2015-06-09,3500
2015-06-10,3500
2015-06-11,3500
2015-06-12,3500
2015-06-13,3500
2015-06-14,3500
2015-06-15,3500
2015-06-16,3500
2015-06-17,3500
2015-06-18,3500
2015-06-19,3500
2015-06-20,3500
2015-06-21,3500
2015-06-22,3500
2015-06-23,3500
2015-06-24,3500
2015-06-25,3500
2015-06-26,3500
2015-06-27,3500
2015-06-28,3500
2015-06-29,3500
2015-06-30,3500
2015-07-01,3500
2015-07-02,3500
2015-07-03,3500
2015-07-04,3500
2015-07-05,3329
2015-07-06,3329
2015-07-07,3329
2015-07-08,3329
2015-07-09,3329
2015-07-10,3329
2015-07-11,3329
2015-07-12,3329
2015-07-13,3329
2015-07-14,3329
2015-07-15,3329
2015-07-16,3329
2015-07-17,3329
2015-07-18,3329
2015-07-19,3329
2015-07-20,3329
2015-07-21,3329
2015-07-22,3329
2015-07-23,3329
2015-07-24,3329
2015-07-25,3329
2015-07-26,3329
2015-07-27,3329
2015-07-28,3329
2015-07-29,3329
2015-07-30,3329
2015-07-31,3329
2015-08-01,3329
2015-08-02,3329
2015-08-03,3329
2015-08-04,3329
2015-08-05,3329
2015-08-06,3329
2015-08-07,3329
2015-08-08,3329
2015-08-09,3329
2015-08-10,3329
2015-08-11,3329
2015-08-12,3329
2015-08-13,3329
2015-08-14,3329
2015-08-15,3329
2015-08-16,3329
2015-08-17,3329
2015-08-18,3329
2015-08-19,3329
2015-08-20,3329
2015-08-21,3329
2015-08-22,3329
2015-08-23,3329
2015-08-24,3329
2015-08-25,3329
2015-08-26,3329
2015-08-27,3329
2015-08-28,3329
2015-08-29,3329
2015-08-30,3329
2015-08-31,3329
2015-09-01,3329
2015-09-02,3329
2015-09-03,3329
2015-09-04,3329
2015-09-05,3329
2015-09-06,3329
2015-09-07,3329
2015-09-08,3329
2015-09-09,3329
2015-09-10,3329
2015-09-11,3329
2015-09-12,3329
2015-09-13,3329
2015-09-14,3329
2015-09-15,3329
2015-09-16,3329
2015-09-17,3329
2015-09-18,3329
2015-09-19,3329
2015-09-20,3329
2015-09-21,3329
2015-09-22,3329
2015-09-23,3329
2015-09-24,3329
2015-09-25,3329
2015-09-27,3329
2015-09-28,3329
2015-09-29,3329
2015-09-30,3329
2015-10-05,3329
2015-10-06,3329
2015-10-07,3329
2015-10-08,3329
2015-10-09,3329
2015-10-10,3329
2015-10-11,3329
2015-10-12,3329
2015-10-13,3329
2015-10-14,3329
2015-10-15,3329
2015-10-16,3329
2015-10-17,3329
2015-10-18,3329
2015-10-19,3329
2015-10-20,3329
2015-10-22,3329
2015-10-23,3329
2015-10-24,3329
2015-10-25,3329
2015-10-26,3329
2015-10-27,3329
2015-10-29,3329
2015-10-30,3329
2015-10-31,3329
2015-11-01,3329
2015-11-02,3329
2015-11-03,3329
2015-11-04,3329
2015-11-05,3329
2015-11-06,3329
2015-11-07,3329
2015-11-08,3329
2015-11-09,3329
2015-11-10,3329
2015-11-11,3329
2015-11-12,3329
2015-11-13,3329
2015-11-14,3329
2015-11-15,3329
2015-11-16,3329
2015-11-17,3329
2015-11-18,3329
2015-11-19,3329
2015-11-20,3329
2015-11-21,3329
2015-11-22,3329
2015-11-23,3329
2015-11-24,3329
2015-11-25,3329
2015-11-26,3329
2015-11-27,3329
2015-11-28,3329
2015-11-29,3329
2015-11-30,3329
2015-12-01,3329
2015-12-02,3329
2015-12-03,3329
2015-12-04,3329
2015-12-05,3329
2015-12-06,3329
2015-12-07,3329
2015-12-08,3168
2015-12-09,3168
2015-12-10,3168
2015-12-11,3168
2015-12-13,3168
2015-12-14,3168
2015-12-15,3168
2015-12-16,3168
2015-12-17,3168
2015-12-18,3168
2015-12-19,3168
2015-12-20,3168
2015-12-21,3168
2015-12-22,3168
2015-12-23,3168
2015-12-24,3168
2015-12-25,3168
2015-12-26,3168
2015-12-27,3168
2015-12-28,3168
2015-12-29,3168
2015-12-30,3168
2015-12-31,3168
2016-01-01,3168
2016-01-02,3168
2016-01-03,3168
2016-01-04,3168
2016-01-05,3168
2016-01-06,3168
2016-01-07,3168
2016-01-08,3168
2016-01-09,3168
2016-01-10,3168
2016-01-11,3168
2016-01-12,3168
2016-01-13,3168
2016-01-14,3168
2016-01-15,3168
2016-01-16,3168
2016-01-17,3168
2016-01-18,3168
2016-01-19,3168
2016-01-20,3168
2016-01-21,3168
2016-01-22,3168
2016-01-23,3168
2016-01-24,3168
2016-01-25,3168
2016-01-26,3168
2016-01-27,3168
2016-01-28,3168
2016-01-29,3168
2016-01-30,3168
2016-01-31,3168
2016-02-01,3168
2016-02-02,3168
2016-02-03,3168
2016-02-04,3168
2016-02-05,3168
2016-02-06,3168
2016-02-07,3168
2016-02-08,3168
2016-02-09,3168
2016-02-10,3168
2016-02-11,3168
2016-02-12,3168
2016-02-13,3168
2016-02-14,3168
2016-02-15,3168
2016-02-16,3168
2016-02-17,3168
2016-02-18,3168
2016-02-19,3168
2016-02-20,3168
2016-02-21,3168
2016-02-22,3168
2016-02-23,3168
2016-02-24,3168
2016-02-25,3168
2016-02-26,3168
2016-02-27,3168
2016-02-28,3168
2016-02-29,3168
2016-03-01,3168
2016-03-02,3168
2016-03-03,3168
2016-03-04,3168
2016-03-05,3168
2016-03-06,3168
2016-03-07,3168
2016-03-08,3168
2016-03-09,3168
2016-03-10,3168
2016-03-11,3168
2016-03-12,3011
2016-03-13,3011
2016-03-14,3011
2016-03-15,3011
2016-03-16,3011
2016-03-17,3011
2016-03-18,3011
2016-03-19,3011
2016-03-20,3011
2016-03-21,3011
2016-03-22,3011
2016-03-23,3011
2016-03-24,3011
2016-03-25,3011
2016-03-26,3011
2016-03-27,3011
2016-03-28,3011
2016-03-29,3011
2016-03-30,3011
2016-03-31,3011
2016-04-01,3011
2016-04-02,3011
2016-04-03,3011
2016-04-04,3011
2016-04-05,3011
2016-04-06,3011
2016-04-07,3011
2016-04-08,3011
2016-04-09,3011
2016-04-10,3011
2016-04-11,3011
2016-04-12,3011
2016-04-13,3011
2016-04-14,3011
2016-04-15,3011
2016-04-16,3011
2016-04-17,3011
2016-04-18,3011
2016-04-19,3011
2016-04-20,3011
2016-04-21,3011
2016-04-22,3011
2016-04-23,3011
2016-04-24,3011
2016-04-25,3011
2016-04-26,3011
2016-04-27,3011
2016-04-28,3011
2016-04-29,3011
2016-04-30,3011
2016-05-01,3011
2016-05-02,3011
2016-05-03,2861
2016-05-04,2861
2016-05-05,2861
2016-05-06,2861
2016-05-07,2861
2016-05-08,2861
2016-05-09,2861
2016-05-10,2861
2016-05-11,2861
2016-05-12,2861
2016-05-13,2861
2016-05-14,2861
2016-05-15,2861
2016-05-16,2861
2016-05-17,2861
2016-05-18,2861
2016-05-19,2861
2016-05-22,2861
2016-05-23,2861
2016-05-24,2861
2016-05-25,2861
2016-05-26,2861
2016-05-27,2861
2016-05-28,2861
2016-05-29,2861
2016-05-30,2861
2016-05-31,2861
2016-06-01,2861
2016-06-02,2861
2016-06-03,2861
2016-06-04,2861
2016-06-05,2861
2016-06-06,2719
2016-06-07,2719
2016-06-08,2719
2016-06-09,2719
2016-06-10,2719
2016-06-11,2719
2016-06-12,2719
2016-06-13,2719
2016-06-14,2719
2016-06-15,2719
2016-06-16,2719
2016-06-17,2719
2016-06-18,2719
2016-06-19,2719
2016-06-20,2719
2016-06-21,2719
2016-06-22,2719
2016-06-23,2719
2016-06-24,2719
2016-06-25,2719
2016-06-26,2719
2016-06-27,2719
2016-06-28,2719
2016-06-29,2719
2016-06-30,2719
2016-07-01,2719
2016-07-02,2719
