date_obj,Topaz%20ring price
2017-02-01,2000
2017-02-02,2000
2017-02-03,2000
2017-02-04,2000
2017-02-05,2000
2017-02-06,2000
2017-02-07,2000
2017-02-08,2000
2017-02-09,2000
2017-02-10,2000
2017-02-11,2000
2017-02-12,2000
2017-02-13,2000
2017-02-14,2000
2017-02-15,2000
2017-02-16,2000
2017-02-18,2000
2017-02-19,2000
2017-02-20,2000
2017-02-21,2000
2017-02-22,2000
2017-02-23,2000
2017-02-24,2000
2017-02-25,2000
2017-02-26,2000
2017-02-27,2000
2017-02-28,1908
2017-03-01,1908
2017-03-02,1908
2017-03-03,1908
2017-03-04,1908
2017-03-05,1908
2017-03-06,1908
2017-03-07,1908
2017-03-08,1908
2017-03-09,1908
2017-03-10,1908
2017-03-11,1908
2017-03-12,1908
2017-03-13,1908
2017-03-14,1908
2017-03-15,1908
2017-03-16,1908
2017-03-17,1908
2017-03-18,1908
2017-03-19,1908
2017-03-20,1908
2017-03-21,1908
2017-03-22,1908
2017-03-23,1908
2017-03-24,1908
2017-03-25,1908
2017-03-26,1908
2017-03-27,1908
2017-03-28,1908
2017-03-29,1908
2017-03-30,1908
2017-03-31,1908
2017-04-01,1908
2017-04-02,1908
2017-04-03,1908
2017-04-04,1908
2017-04-12,1908
2017-04-13,1908
2017-04-14,1908
2017-04-15,1908
2017-04-16,1908
2017-04-17,1908
2017-04-18,1908
2017-04-19,1908
2017-04-20,1908
2017-04-21,1908
2017-04-22,1908
2017-04-23,1908
2017-04-24,1908
2017-04-25,1908
2017-04-26,1908
2017-04-27,1908
2017-04-28,1908
2017-04-29,1908
2017-04-30,1908
2017-05-01,1908
2017-05-02,1908
2017-05-03,1908
2017-05-04,1908
2017-05-05,1908
2017-05-06,1908
2017-05-07,1847
2017-05-08,1847
2017-05-09,1847
2017-05-10,1847
2017-05-11,1847
2017-05-12,1847
2017-05-13,1847
2017-05-14,1847
2017-05-15,1847
2017-05-16,1847
2017-05-17,1847
2017-05-18,1847
2017-05-19,1847
2017-05-20,1847
2017-05-21,1847
2017-05-22,1847
2017-05-23,1847
2017-05-24,1847
2017-05-25,1847
2017-05-26,1847
2017-05-27,1847
2017-05-28,1847
2017-05-29,1847
2017-05-30,1847
2017-05-31,1847
2017-06-01,1847
2017-06-02,1847
2017-06-03,1847
2017-06-06,1847
2017-06-07,1847
2017-06-08,1847
2017-06-09,1847
2017-06-10,1847
2017-06-11,1847
2017-06-12,1847
2017-06-13,1847
2017-06-14,1847
2017-06-15,1847
2017-06-16,1847
2017-06-17,1847
2017-06-18,1847
2017-06-19,1847
2017-06-20,1847
2017-06-21,1847
2017-06-22,1847
2017-06-23,1847
2017-06-24,1847
2017-06-25,1847
2017-06-26,1847
2017-06-27,1847
2017-06-28,1847
2017-06-29,1847
2017-06-30,1847
2017-07-01,1847
2017-07-02,1847
2017-07-03,1847
2017-07-04,1847
2017-07-05,1847
2017-07-06,1847
2017-07-07,1847
2017-07-08,1847
2017-07-13,1847
2017-07-14,1847
2017-07-15,1847
2017-07-16,1847
2017-07-17,1847
2017-07-18,1847
2017-07-19,1847
2017-07-20,1847
2017-07-21,1812
2017-07-22,1812
2017-07-23,1812
2017-07-24,1812
2017-07-25,1812
2017-07-26,1812
2017-07-27,1812
2017-07-28,1812
2017-07-29,1812
2017-07-30,1812
2017-07-31,1812
2017-08-01,1812
2017-08-02,1812
2017-08-03,1812
2017-08-04,1812
2017-08-05,1812
2017-08-06,1812
2017-08-09,1812
2017-08-10,1812
2017-08-11,1812
2017-08-12,1812
2017-08-13,1812
2017-08-14,1812
2017-08-15,1812
2017-08-16,1812
2017-08-17,1812
2017-08-18,1812
2017-08-19,1812
2017-08-20,1812
2017-08-21,1812
2017-08-22,1812
2017-08-23,1812
2017-08-24,1812
2017-08-25,1812
2017-08-26,1812
2017-08-27,1812
2017-08-28,1812
2017-08-29,1812
2017-08-30,1812
2017-08-31,1812
2017-09-01,1812
2017-09-02,1812
2017-09-03,1812
2017-09-04,1812
2017-09-05,1812
2017-09-06,1812
2017-09-07,1812
2017-09-08,1812
2017-09-09,1812
2017-09-10,1812
2017-09-11,1812
2017-09-12,1812
2017-09-13,1812
2017-09-14,1812
2017-09-15,1812
2017-09-16,1812
2017-09-17,1812
2017-09-19,1812
2017-09-20,1812
2017-09-21,1812
2017-09-22,1812
2017-09-23,1812
2017-09-24,1812
2017-09-25,1812
2017-09-26,1812
2017-09-27,1812
2017-09-28,1812
2017-09-29,1812
2017-09-30,1812
2017-10-01,1812
2017-10-02,1812
2017-10-03,1812
2017-10-04,1812
2017-10-05,1812
2017-10-06,1812
2017-10-07,1812
2017-10-08,1812
2017-10-09,1812
2017-10-10,1812
2017-10-11,1812
2017-10-12,1812
2017-10-13,1838
2017-10-14,1838
2017-10-15,1838
2017-10-16,1838
2017-10-17,1838
2017-10-18,1838
2017-10-19,1838
2017-10-20,1838
2017-10-21,1838
2017-10-22,1838
2017-10-23,1838
2017-10-24,1838
2017-10-25,1838
2017-10-26,1838
2017-10-27,1838
2017-10-28,1838
2017-10-29,1838
2017-10-30,1838
2017-10-31,1838
2017-11-01,1838
2017-11-02,1838
2017-11-03,1838
2017-11-04,1838
2017-11-05,1838
2017-11-06,1838
2017-11-07,1838
2017-11-08,1838
2017-11-09,1838
2017-11-10,1838
2017-11-11,1838
2017-11-12,1838
2017-11-13,1838
2017-11-14,1838
2017-11-15,1838
2017-11-16,1838
2017-11-17,1838
2017-11-18,1838
2017-11-19,1838
2017-11-20,1838
2017-11-21,1838
2017-11-22,1838
2017-11-23,1838
2017-11-24,1838
2017-11-25,1838
2017-11-26,1838
2017-11-27,1838
2017-11-28,1838
2017-11-29,1838
2017-11-30,1838
2017-12-01,1838
2017-12-02,1838
2017-12-03,1838
2017-12-04,1838
2017-12-05,1838
2017-12-06,1838
2017-12-07,1838
2017-12-08,1838
2017-12-09,1838
2017-12-10,1838
2017-12-11,1838
2017-12-12,1838
2017-12-13,1838
2017-12-14,1838
2017-12-15,1838
2017-12-16,1838
2017-12-17,1838
2017-12-18,1838
2017-12-19,1838
2017-12-20,1838
2017-12-21,1838
2017-12-22,1838
2017-12-23,1838
2017-12-24,1838
2017-12-25,1838
2017-12-26,1838
2017-12-27,1838
2017-12-28,1838
2017-12-29,1838
2017-12-30,1838
2017-12-31,1838
2018-01-01,1838
2018-01-02,1838
2018-01-03,1838
2018-01-04,1838
2018-01-05,1838
2018-01-06,1857
2018-01-07,1857
2018-01-08,1857
2018-01-09,1857
2018-01-10,1857
2018-01-11,1857
2018-01-12,1857
2018-01-13,1857
2018-01-14,1857
2018-01-15,1857
2018-01-16,1857
2018-01-17,1857
2018-01-18,1857
2018-01-19,1857
2018-01-20,1857
2018-01-21,1857
2018-01-22,1857
2018-01-23,1857
2018-01-24,1857
2018-01-25,1857
2018-01-26,1857
2018-01-27,1857
2018-01-28,1857
2018-01-29,1857
2018-01-30,1857
2018-02-01,1857
2018-02-02,1857
2018-02-03,1857
2018-02-04,1857
2018-02-05,1857
2018-02-06,1857
2018-02-07,1857
2018-02-08,1857
2018-02-09,1857
2018-02-10,1857
2018-02-11,1857
2018-02-12,1857
2018-02-13,1857
2018-02-14,1857
2018-02-15,1857
2018-02-16,1857
2018-02-17,1857
2018-02-18,1857
2018-02-19,1857
2018-02-20,1857
2018-02-21,1857
2018-02-22,1857
2018-02-23,1857
2018-02-24,1857
2018-02-25,1857
2018-02-26,1898
2018-02-27,1898
2018-02-28,1898
2018-03-01,1898
2018-03-02,1898
2018-03-03,1898
2018-03-04,1898
2018-03-05,1898
2018-03-06,1898
2018-03-07,1898
2018-03-08,1898
2018-03-09,1898
2018-03-10,1898
2018-03-11,1898
2018-03-12,1898
2018-03-13,1898
2018-03-14,1898
2018-03-15,1898
2018-03-16,1898
2018-03-17,1898
2018-03-18,1898
2018-03-19,1898
2018-03-20,1898
2018-03-21,1898
2018-03-23,1898
2018-03-24,1898
2018-03-26,1898
2018-03-27,1898
