date_obj,Teak%20wardrobe%20(flatpack) price
2015-03-05,120
2015-03-06,120
2015-03-07,120
2015-03-08,120
2015-03-09,120
2015-03-10,120
2015-03-11,120
2015-03-12,120
2015-03-13,120
2015-03-14,120
2015-03-15,120
2015-03-16,120
2015-03-17,120
2015-03-18,120
2015-03-19,120
2015-03-20,120
2015-03-21,120
2015-03-22,120
2015-03-23,120
2015-03-24,120
2015-03-25,120
2015-03-26,120
2015-03-27,120
2015-03-28,120
2015-03-29,120
2015-03-30,120
2015-03-31,120
2015-04-01,120
2015-04-02,120
2015-04-03,120
2015-04-04,120
2015-04-05,120
2015-04-06,120
2015-04-07,120
2015-04-08,120
2015-04-09,120
2015-04-10,120
2015-04-11,120
2015-04-12,120
2015-04-13,120
2015-04-14,120
2015-04-15,120
2015-04-16,120
2015-04-17,120
2015-04-18,120
2015-04-19,120
2015-04-20,120
2015-04-21,120
2015-04-22,120
2015-04-23,120
2015-04-24,120
2015-04-25,120
2015-04-26,120
2015-04-27,120
2015-04-28,120
2015-04-29,120
2015-04-30,120
2015-05-01,120
2015-05-02,120
2015-05-03,120
2015-05-04,120
2015-05-05,120
2015-05-06,120
2015-05-07,120
2015-05-08,120
2015-05-09,120
2015-05-10,120
2015-05-11,120
2015-05-12,120
2015-05-13,120
2015-05-14,120
2015-05-15,120
2015-05-16,120
2015-05-17,120
2015-05-18,120
2015-05-19,120
2015-05-20,120
2015-05-21,120
2015-05-22,120
2015-05-23,120
2015-05-24,120
2015-05-25,120
2015-05-26,120
2015-05-27,120
2015-05-28,120
2015-05-29,120
2015-05-30,120
2015-05-31,120
2015-06-01,120
2015-06-02,120
2015-06-03,120
2015-06-04,120
2015-06-05,120
2015-06-06,120
2015-06-07,120
2015-06-08,120
2015-06-09,120
2015-06-10,120
2015-06-11,120
2015-06-12,120
2015-06-13,120
2015-06-14,120
2015-06-15,120
2015-06-16,120
2015-06-17,120
2015-06-18,120
2015-06-19,120
2015-06-20,120
2015-06-21,120
2015-06-22,120
2015-06-23,120
2015-06-24,120
2015-06-25,120
2015-06-26,120
2015-06-27,120
2015-06-28,120
2015-06-29,120
2015-06-30,120
2015-07-01,120
2015-07-02,120
2015-07-03,120
2015-07-04,120
2015-07-05,120
2015-07-06,120
2015-07-07,120
2015-07-08,120
2015-07-09,120
2015-07-10,120
2015-07-11,120
2015-07-12,120
2015-07-13,120
2015-07-14,120
2015-07-15,120
2015-07-16,120
2015-07-17,120
2015-07-18,120
2015-07-19,120
2015-07-20,120
2015-07-21,120
2015-07-22,120
2015-07-23,120
2015-07-24,120
2015-07-25,120
2015-07-26,120
2015-07-27,120
2015-07-28,120
2015-07-29,120
2015-07-30,120
2015-07-31,120
2015-08-01,120
2015-08-02,120
2015-08-03,120
2015-08-04,120
2015-08-05,120
2015-08-06,120
2015-08-07,120
2015-08-08,120
2015-08-09,120
2015-08-10,120
2015-08-11,120
2015-08-12,120
2015-08-13,120
2015-08-14,120
2015-08-15,120
2015-08-16,120
2015-08-17,120
2015-08-18,120
2015-08-19,120
2015-08-20,120
2015-08-21,120
2015-08-22,120
2015-08-23,120
2015-08-24,120
2015-08-25,120
2015-08-26,120
2015-08-27,120
2015-08-28,120
2015-08-29,120
2015-08-30,120
2015-08-31,120
2015-09-02,120
2015-09-07,120
2015-09-08,120
2015-09-10,120
2015-09-14,120
2015-09-16,120
2015-09-22,120
2015-09-23,120
2015-09-24,120
2015-09-25,120
2015-09-27,120
2015-09-28,120
2015-09-29,120
2015-09-30,120
2015-10-05,120
2015-10-06,120
2015-10-07,120
2015-10-08,120
2015-10-09,120
2015-10-10,120
2015-10-11,120
2015-10-12,120
2015-10-13,120
2015-10-14,120
2015-10-15,120
2015-10-16,120
2015-10-17,120
2015-10-18,120
2015-10-19,120
2015-10-20,120
2015-10-22,120
2015-10-23,120
2015-10-24,120
2015-10-25,120
2015-10-26,120
2015-10-27,120
2015-10-29,120
2015-10-30,120
2015-10-31,120
2015-11-01,120
2015-11-02,120
2015-11-03,120
2015-11-04,120
2015-11-05,120
2015-11-06,120
2015-11-07,120
2015-11-08,120
2015-11-09,120
2015-11-10,120
2015-11-11,120
2015-11-12,120
2015-11-13,120
2015-11-14,120
2015-11-15,120
2015-11-16,120
2015-11-17,120
